"org"                   "1.3"
"genAvgPowerFactor"                     "1.3.6.1.4.1.41385.1.3.1.1.64"
"mainsTotalWatts"                       "1.3.6.1.4.1.41385.1.3.1.1.65"
"mainsL1VA"                     "1.3.6.1.4.1.41385.1.3.1.1.66"
"mainsL2VA"                     "1.3.6.1.4.1.41385.1.3.1.1.67"
"mainsL3VA"                     "1.3.6.1.4.1.41385.1.3.1.1.68"
"mainsTotalVA"                  "1.3.6.1.4.1.41385.1.3.1.1.69"
"mainsL1VAr"                    "1.3.6.1.4.1.41385.1.3.1.1.70"
"mainsL2VAr"                    "1.3.6.1.4.1.41385.1.3.1.1.71"
"mainsL3VAr"                    "1.3.6.1.4.1.41385.1.3.1.1.72"
"mainsTotalVAr"                 "1.3.6.1.4.1.41385.1.3.1.1.73"
"mainsPowerFactorL1"                    "1.3.6.1.4.1.41385.1.3.1.1.74"
"mainsPowerFactorL2"                    "1.3.6.1.4.1.41385.1.3.1.1.75"
"mainsPowerFactorL3"                    "1.3.6.1.4.1.41385.1.3.1.1.76"
"mainsAvgPowerFactor"                   "1.3.6.1.4.1.41385.1.3.1.1.77"
"busTotalWatts"                 "1.3.6.1.4.1.41385.1.3.1.1.78"
"busL1VA"                       "1.3.6.1.4.1.41385.1.3.1.1.79"
"busL2VA"                       "1.3.6.1.4.1.41385.1.3.1.1.80"
"busL3VA"                       "1.3.6.1.4.1.41385.1.3.1.1.81"
"busTotalVA"                    "1.3.6.1.4.1.41385.1.3.1.1.82"
"busL1VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.83"
"busL2VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.84"
"busL3VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.85"
"busTotalVAr"                   "1.3.6.1.4.1.41385.1.3.1.1.86"
"busPowerFactorL1"                      "1.3.6.1.4.1.41385.1.3.1.1.87"
"busPowerFactorL2"                      "1.3.6.1.4.1.41385.1.3.1.1.88"
"busPowerFactorL3"                      "1.3.6.1.4.1.41385.1.3.1.1.89"
"busAvgPowerFactor"                     "1.3.6.1.4.1.41385.1.3.1.1.90"
"engHours"                      "1.3.6.1.4.1.41385.1.3.1.1.91"
"genAccKW"                      "1.3.6.1.4.1.41385.1.3.1.1.92"
"genAccKVA"                     "1.3.6.1.4.1.41385.1.3.1.1.93"
"genAccKVAr"                    "1.3.6.1.4.1.41385.1.3.1.1.94"
"startAttempts"                 "1.3.6.1.4.1.41385.1.3.1.1.95"
"mainsAccKW"                    "1.3.6.1.4.1.41385.1.3.1.1.96"
"mainsAccKVA"                   "1.3.6.1.4.1.41385.1.3.1.1.97"
"mainsAccKVAr"                  "1.3.6.1.4.1.41385.1.3.1.1.98"
"busAccKW"                      "1.3.6.1.4.1.41385.1.3.1.1.99"
"busAccKVA"                     "1.3.6.1.4.1.41385.1.3.1.1.100"
"busAccKVAr"                    "1.3.6.1.4.1.41385.1.3.1.1.101"
"dcPlantBattCharge"                     "1.3.6.1.4.1.41385.1.3.1.1.102"
"dcPlantBattDisharge"                   "1.3.6.1.4.1.41385.1.3.1.1.103"
"dcVoltage"                     "1.3.6.1.4.1.41385.1.3.1.1.104"
"dcLoadCurrent"                 "1.3.6.1.4.1.41385.1.3.1.1.105"
"dcPlantBattCurrent"                    "1.3.6.1.4.1.41385.1.3.1.1.106"
"dcTotalCurrent"                        "1.3.6.1.4.1.41385.1.3.1.1.107"
"dcPlantBattCycles"                     "1.3.6.1.4.1.41385.1.3.1.1.108"
"dcChargeMode"                  "1.3.6.1.4.1.41385.1.3.1.1.109"
"dcPlantBattTemp"                       "1.3.6.1.4.1.41385.1.3.1.1.110"
"dcBattCycleState"                      "1.3.6.1.4.1.41385.1.3.1.1.111"
"dcChargerCurrent"                      "1.3.6.1.4.1.41385.1.3.1.1.112"
"dcPlantBattRunTime"                    "1.3.6.1.4.1.41385.1.3.1.1.113"
"dcChargerWatts"                        "1.3.6.1.4.1.41385.1.3.1.1.114"
"dcLoadWatts"                   "1.3.6.1.4.1.41385.1.3.1.1.115"
"dcBatteryWatts"                        "1.3.6.1.4.1.41385.1.3.1.1.116"
"dcTotalWatts"                  "1.3.6.1.4.1.41385.1.3.1.1.117"
"loadKwh"                       "1.3.6.1.4.1.41385.1.3.1.1.118"
"battChargingKwh"                       "1.3.6.1.4.1.41385.1.3.1.1.119"
"battDischargingKwh"                    "1.3.6.1.4.1.41385.1.3.1.1.120"
"s2Kwh"                 "1.3.6.1.4.1.41385.1.3.1.1.121"
"s2Kva"                 "1.3.6.1.4.1.41385.1.3.1.1.122"
"s2Kvar"                        "1.3.6.1.4.1.41385.1.3.1.1.123"
"s1Kwh"                 "1.3.6.1.4.1.41385.1.3.1.1.124"
"s1Kva"                 "1.3.6.1.4.1.41385.1.3.1.1.125"
"s1Kvar"                        "1.3.6.1.4.1.41385.1.3.1.1.126"
"s1Frequency"                   "1.3.6.1.4.1.41385.1.3.1.1.127"
"s1L1Volts"                     "1.3.6.1.4.1.41385.1.3.1.1.128"
"s1L2Volts"                     "1.3.6.1.4.1.41385.1.3.1.1.129"
"s1L3Volts"                     "1.3.6.1.4.1.41385.1.3.1.1.130"
"s1L1L2Volts"                   "1.3.6.1.4.1.41385.1.3.1.1.131"
"s1L2L3Volts"                   "1.3.6.1.4.1.41385.1.3.1.1.132"
"s1L3L1Volts"                   "1.3.6.1.4.1.41385.1.3.1.1.133"
"s1L1Current"                   "1.3.6.1.4.1.41385.1.3.1.1.134"
"s1L2Current"                   "1.3.6.1.4.1.41385.1.3.1.1.135"
"s1L3Current"                   "1.3.6.1.4.1.41385.1.3.1.1.136"
"s1EarthCurrent"                        "1.3.6.1.4.1.41385.1.3.1.1.137"
"s1L1Watts"                     "1.3.6.1.4.1.41385.1.3.1.1.138"
"s1L2Watts"                     "1.3.6.1.4.1.41385.1.3.1.1.139"
"s1L3Watts"                     "1.3.6.1.4.1.41385.1.3.1.1.140"
"s1CurrentLagLead"                      "1.3.6.1.4.1.41385.1.3.1.1.141"
"s2Frequency"                   "1.3.6.1.4.1.41385.1.3.1.1.142"
"s2L1Volts"                     "1.3.6.1.4.1.41385.1.3.1.1.143"
"s2L2Volts"                     "1.3.6.1.4.1.41385.1.3.1.1.144"
"s2L3Volts"                     "1.3.6.1.4.1.41385.1.3.1.1.145"
"s2L1L2Volts"                   "1.3.6.1.4.1.41385.1.3.1.1.146"
"s2L2L3Volts"                   "1.3.6.1.4.1.41385.1.3.1.1.147"
"s2L3L1Volts"                   "1.3.6.1.4.1.41385.1.3.1.1.148"
"s2L1Current"                   "1.3.6.1.4.1.41385.1.3.1.1.149"
"s2L2Current"                   "1.3.6.1.4.1.41385.1.3.1.1.150"
"s2L3Current"                   "1.3.6.1.4.1.41385.1.3.1.1.151"
"s2EarthCurrent"                        "1.3.6.1.4.1.41385.1.3.1.1.152"
"s2L1Watts"                     "1.3.6.1.4.1.41385.1.3.1.1.153"
"s2L2Watts"                     "1.3.6.1.4.1.41385.1.3.1.1.154"
"s2L3Watts"                     "1.3.6.1.4.1.41385.1.3.1.1.155"
"s2CurrentLagLead"                      "1.3.6.1.4.1.41385.1.3.1.1.156"
"s2TotalWatts"                  "1.3.6.1.4.1.41385.1.3.1.1.157"
"s2L1Va"                        "1.3.6.1.4.1.41385.1.3.1.1.158"
"s2L2Va"                        "1.3.6.1.4.1.41385.1.3.1.1.159"
"s2L3Va"                        "1.3.6.1.4.1.41385.1.3.1.1.160"
"s2TotalVa"                     "1.3.6.1.4.1.41385.1.3.1.1.161"
"s2L1Var"                       "1.3.6.1.4.1.41385.1.3.1.1.162"
"s2L2Var"                       "1.3.6.1.4.1.41385.1.3.1.1.163"
"s2L3Var"                       "1.3.6.1.4.1.41385.1.3.1.1.164"
"s2TotalVar"                    "1.3.6.1.4.1.41385.1.3.1.1.165"
"s2L1PowerFactor"                       "1.3.6.1.4.1.41385.1.3.1.1.166"
"s2L2PowerFactor"                       "1.3.6.1.4.1.41385.1.3.1.1.167"
"s2L3PowerFactor"                       "1.3.6.1.4.1.41385.1.3.1.1.168"
"s2AveragePowerFactor"                  "1.3.6.1.4.1.41385.1.3.1.1.169"
"s2PercentFullPower"                    "1.3.6.1.4.1.41385.1.3.1.1.170"
"s2PercentFullVar"                      "1.3.6.1.4.1.41385.1.3.1.1.171"
"s1TotalWatts"                  "1.3.6.1.4.1.41385.1.3.1.1.172"
"s1L1Va"                        "1.3.6.1.4.1.41385.1.3.1.1.173"
"s1L2Va"                        "1.3.6.1.4.1.41385.1.3.1.1.174"
"s1L3Va"                        "1.3.6.1.4.1.41385.1.3.1.1.175"
"s1TotalVa"                     "1.3.6.1.4.1.41385.1.3.1.1.176"
"s1L1Var"                       "1.3.6.1.4.1.41385.1.3.1.1.177"
"s1L2Var"                       "1.3.6.1.4.1.41385.1.3.1.1.178"
"s1L3Var"                       "1.3.6.1.4.1.41385.1.3.1.1.179"
"s1TotalVar"                    "1.3.6.1.4.1.41385.1.3.1.1.180"
"s1L1PowerFactor"                       "1.3.6.1.4.1.41385.1.3.1.1.181"
"s1L2PowerFactor"                       "1.3.6.1.4.1.41385.1.3.1.1.182"
"s1L3PowerFactor"                       "1.3.6.1.4.1.41385.1.3.1.1.183"
"s1AveragePowerFactor"                  "1.3.6.1.4.1.41385.1.3.1.1.184"
"s1PercentFullPower"                    "1.3.6.1.4.1.41385.1.3.1.1.185"
"s1PercentFullVar"                      "1.3.6.1.4.1.41385.1.3.1.1.186"
"s2L1LeadLag"                   "1.3.6.1.4.1.41385.1.3.1.1.187"
"s2L2LeadLag"                   "1.3.6.1.4.1.41385.1.3.1.1.188"
"s2L3LeadLag"                   "1.3.6.1.4.1.41385.1.3.1.1.189"
"s2TotalLeadLag"                        "1.3.6.1.4.1.41385.1.3.1.1.190"
"s2L1PercentFullPower"                  "1.3.6.1.4.1.41385.1.3.1.1.191"
"s2L2PercentFullPower"                  "1.3.6.1.4.1.41385.1.3.1.1.192"
"s2L3PercentFullPower"                  "1.3.6.1.4.1.41385.1.3.1.1.193"
"s1L1LeadLag"                   "1.3.6.1.4.1.41385.1.3.1.1.194"
"s1L2LeadLag"                   "1.3.6.1.4.1.41385.1.3.1.1.195"
"s1L3LeadLag"                   "1.3.6.1.4.1.41385.1.3.1.1.196"
"s1TotalLeadLag"                        "1.3.6.1.4.1.41385.1.3.1.1.197"
"customInstrumentTable"                 "1.3.6.1.4.1.41385.1.3.2"
"dseCustomInstrumentEntry"                      "1.3.6.1.4.1.41385.1.3.2.1"
"gencomTaskCustom"                      "1.3.6.1.4.1.41385.1.3.2.1.1"
"slot1Value"                    "1.3.6.1.4.1.41385.1.3.2.1.2"
"slot1Description"                      "1.3.6.1.4.1.41385.1.3.2.1.3"
"slot2Value"                    "1.3.6.1.4.1.41385.1.3.2.1.4"
"slot2Description"                      "1.3.6.1.4.1.41385.1.3.2.1.5"
"slot3Value"                    "1.3.6.1.4.1.41385.1.3.2.1.6"
"slot3Description"                      "1.3.6.1.4.1.41385.1.3.2.1.7"
"slot4Value"                    "1.3.6.1.4.1.41385.1.3.2.1.8"
"slot4Description"                      "1.3.6.1.4.1.41385.1.3.2.1.9"
"slot5Value"                    "1.3.6.1.4.1.41385.1.3.2.1.10"
"slot5Description"                      "1.3.6.1.4.1.41385.1.3.2.1.11"
"slot6Value"                    "1.3.6.1.4.1.41385.1.3.2.1.12"
"slot6Description"                      "1.3.6.1.4.1.41385.1.3.2.1.13"
"slot7Value"                    "1.3.6.1.4.1.41385.1.3.2.1.14"
"slot7Description"                      "1.3.6.1.4.1.41385.1.3.2.1.15"
"slot8Value"                    "1.3.6.1.4.1.41385.1.3.2.1.16"
"slot8Description"                      "1.3.6.1.4.1.41385.1.3.2.1.17"
"slot9Value"                    "1.3.6.1.4.1.41385.1.3.2.1.18"
"slot9Description"                      "1.3.6.1.4.1.41385.1.3.2.1.19"
"slot10Value"                   "1.3.6.1.4.1.41385.1.3.2.1.20"
"slot10Description"                     "1.3.6.1.4.1.41385.1.3.2.1.21"
"slot11Value"                   "1.3.6.1.4.1.41385.1.3.2.1.22"
"slot11Description"                     "1.3.6.1.4.1.41385.1.3.2.1.23"
"slot12Value"                   "1.3.6.1.4.1.41385.1.3.2.1.24"
"slot12Description"                     "1.3.6.1.4.1.41385.1.3.2.1.25"
"slot13Value"                   "1.3.6.1.4.1.41385.1.3.2.1.26"
"slot13Description"                     "1.3.6.1.4.1.41385.1.3.2.1.27"
"slot14Value"                   "1.3.6.1.4.1.41385.1.3.2.1.28"
"slot14Description"                     "1.3.6.1.4.1.41385.1.3.2.1.29"
"slot15Value"                   "1.3.6.1.4.1.41385.1.3.2.1.30"
"slot15Description"                     "1.3.6.1.4.1.41385.1.3.2.1.31"
"slot16Value"                   "1.3.6.1.4.1.41385.1.3.2.1.32"
"slot16Description"                     "1.3.6.1.4.1.41385.1.3.2.1.33"
"slot17Value"                   "1.3.6.1.4.1.41385.1.3.2.1.34"
"slot17Description"                     "1.3.6.1.4.1.41385.1.3.2.1.35"
"slot18Value"                   "1.3.6.1.4.1.41385.1.3.2.1.36"
"slot18Description"                     "1.3.6.1.4.1.41385.1.3.2.1.37"
"slot19Value"                   "1.3.6.1.4.1.41385.1.3.2.1.38"
"slot19Description"                     "1.3.6.1.4.1.41385.1.3.2.1.39"
"slot20Value"                   "1.3.6.1.4.1.41385.1.3.2.1.40"
"slot20Description"                     "1.3.6.1.4.1.41385.1.3.2.1.41"
"controlTable"                  "1.3.6.1.4.1.41385.1.3.3"
"dseControlEntry"                       "1.3.6.1.4.1.41385.1.3.3.1"
"gencomTaskControl"                     "1.3.6.1.4.1.41385.1.3.3.1.1"
"mode"                  "1.3.6.1.4.1.41385.1.3.3.1.2"
"modeText"                      "1.3.6.1.4.1.41385.1.3.3.1.3"
